title,recipe_link,img_link,ingredients,yield,nutrients,meal_type,subregion,region,total_calories,total_protein,total_fat,total_carb
Jenn's Out Of This World Spaghetti and Meatballs,https://www.allrecipes.com/recipe/85635/jenns-out-of-this-world-spaghetti-and-meatballs/,https://www.allrecipes.com/thmb/mHxiLACdKnpLTDyfJl6oONYobXE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/754675-d5429c1bc87b4dc2a75d1f8e6c73221f.jpg,"['3 tablespoons olive oil', '0.75 cup chopped onion', '4 cloves garlic, minced', '2 (16 ounce) cans crushed tomatoes', '3 (6 ounce) cans tomato paste', '1 cup water', '0.5 cup sugar', '0.25 cup chopped fresh oregano, divided', '1 dried bay leaf', 'salt and pepper to taste', '1 pound ground round', '0.5 cup Italian seasoned bread crumbs', '0.25 cup chopped fresh parsley', '2 eggs, lightly beaten', '0.5 cup grated Parmesan cheese', '1 (16 ounce) package uncooked spaghetti']",8 servings,"{'calories': '572 kcal', 'carbohydrateContent': '80 g', 'cholesterolContent': '87 mg', 'fiberContent': '8 g', 'proteinContent': '28 g', 'saturatedFatContent': '5 g', 'sodiumContent': '1177 mg', 'sugarContent': '21 g', 'fatContent': '17 g', 'unsaturatedFatContent': '0 g'}",main,italian,european,4989.21,261.19,149.10000000000002,674.81
Jersey Fresh Stewed Tomatoes,https://www.allrecipes.com/recipe/254978/jersey-fresh-stewed-tomatoes/,https://www.allrecipes.com/thmb/rANNn4T82h_-GhbzRKqaNsmG6Wc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3843799-70a6a9e44e5240cdbb121f12ac3c9761.jpg,"['6 large tomatoes - peeled, cored, and chopped', '0.75 cup chopped green bell pepper', '0.5 cup chopped sweet onion', '0.5 cup chopped celery', '1 teaspoon white sugar', '0.5 teaspoon salt', '0.25 teaspoon dried oregano', '0.25 teaspoon dried basil', '0.125 teaspoon black pepper', '1 tablespoon water', '1.5 teaspoons cornstarch']",8 servings,"{'calories': '37 kcal', 'carbohydrateContent': '8 g', 'fiberContent': '2 g', 'proteinContent': '2 g', 'saturatedFatContent': '0 g', 'sodiumContent': '159 mg', 'sugarContent': '5 g', 'fatContent': '0 g', 'unsaturatedFatContent': '0 g'}",,state_nj,usa,297.62,11.929999999999998,2.5900000000000003,66.66
Jersey Fresh Tomato Soup,https://www.allrecipes.com/recipe/218791/jersey-fresh-tomato-soup/,https://www.allrecipes.com/thmb/nQz8UGMjuXeLQ4IN0oyS4YKkLfk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/704856-24f97ab2b5344a6eb61435ea69ebcc2d.jpg,"['7 cups peeled, seeded, and chopped tomatoes', '1 cup finely chopped carrots', '0.75 cup finely chopped onion', '1 (13.75 ounce) can chicken broth', '1 tablespoon white sugar', '2 teaspoons sea salt', '3 tablespoons butter', '3 tablespoons all-purpose flour', '1 cup 2% milk', '2 teaspoons dried basil', '0.5 teaspoon celery salt', '0.5 teaspoon ground black pepper', '0.25 teaspoon garlic powder']",4 servings,"{'calories': '234 kcal', 'carbohydrateContent': '30 g', 'cholesterolContent': '30 mg', 'fiberContent': '6 g', 'proteinContent': '7 g', 'saturatedFatContent': '6 g', 'sodiumContent': '1666 mg', 'sugarContent': '18 g', 'fatContent': '11 g', 'unsaturatedFatContent': '0 g'}",,state_nj,usa,937.1199999999999,28.21,43.72,121.42999999999999
Jewish Apple Cake,https://www.allrecipes.com/recipe/7969/jewish-apple-cake-i/,https://www.allrecipes.com/thmb/eKacwD8_CbRuYj6SyeDtm9qWQUw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4566995-73804478b4594c229cf3f92d5b3db9eb.jpg,"['5 teaspoons white sugar', '2 teaspoons ground cinnamon', '3 cups all-purpose flour', '2 cups white sugar', '2.5 teaspoons baking powder', '0.5 teaspoon salt', '1 cup vegetable oil', '4 eggs, beaten', '0.25 cup orange juice', '2 teaspoons vanilla extract', '3 apples - peeled, cored and sliced']",14 servings,"{'calories': '394 kcal', 'carbohydrateContent': '56 g', 'cholesterolContent': '53 mg', 'fiberContent': '2 g', 'proteinContent': '5 g', 'saturatedFatContent': '3 g', 'sodiumContent': '191 mg', 'sugarContent': '34 g', 'fatContent': '18 g', 'unsaturatedFatContent': '0 g'}",dessert,jewish,usa,5562.53,65.93000000000002,241.82000000000002,798.7500000000001
Jewish Apple Cake from Bubba's Recipe Box,https://www.allrecipes.com/recipe/179285/jewish-apple-cake-from-bubbas-recipe-box/,https://www.allrecipes.com/thmb/fVVuZ1Er8aqW5ANT2X8X7UtO7W8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8607079-jewish-apple-cake-from-bubbas-recipe-box-realgirl-4x3-1-79ddde44e9fd4eb987f76d3b9b51c827.jpg,"['1 teaspoon ground cinnamon', '0.75 cup white sugar', '5 large Rome Beauty apples, peeled, cored, and chopped', '3 cups all-purpose flour', '1 teaspoon salt', '1 tablespoon baking powder', '4 eggs', '2 cups white sugar', '1 cup vegetable oil', '0.25 cup orange juice', '1 tablespoon vanilla extract']",12 servings,"{'calories': '528 kcal', 'carbohydrateContent': '83 g', 'cholesterolContent': '62 mg', 'fiberContent': '3 g', 'proteinContent': '6 g', 'saturatedFatContent': '3 g', 'sodiumContent': '341 mg', 'sugarContent': '56 g', 'fatContent': '20 g', 'unsaturatedFatContent': '0 g'}",,jewish,usa,6365.11,67.30000000000001,242.76,1005.4700000000001
Jewish Chicken Soup,https://www.allrecipes.com/recipe/51255/jewish-chicken-soup/,https://www.allrecipes.com/thmb/hZZWnoh1_zBaaL11_VJ0c4ZdSRc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2458827-jewish-chicken-soup-Allrecipes-Magazine-1x1-1-ea216ff1eeff4335af8595612039b8ba.jpg,"['1 whole chicken', '2 quarts cold water, or as needed', '8 carrots, peeled and sliced', '2 stalks celery, chopped', '1 parsnip, chopped', '1 medium yellow onion, chopped', '1 bunch fresh dill weed, chopped', 'salt and pepper to taste', '3 cloves garlic, crushed', '2.5 cups matzo meal', '6 eggs', '6 tablespoons vegetable oil', '2 teaspoons salt']",8 servings,"{'calories': '525 kcal', 'carbohydrateContent': '40 g', 'cholesterolContent': '212 mg', 'fiberContent': '3 g', 'proteinContent': '32 g', 'saturatedFatContent': '6 g', 'sodiumContent': '721 mg', 'sugarContent': '3 g', 'fatContent': '27 g', 'unsaturatedFatContent': '0 g'}",,jewish,usa,5089.299999999999,264.33,200.57,540.21
Jewish Coffee Cake,https://www.allrecipes.com/recipe/15029/jewish-coffee-cake/,https://www.allrecipes.com/thmb/BP155x2O2MyQ7mzmOhk8p_cdKWQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2305-1ec38988dc184627abad1f6b7f4cc610.jpg,"['0.5 cup butter', '1 cup white sugar', '2 eggs', '2 cups all-purpose flour', '1 teaspoon baking soda', '1 teaspoon baking powder', '1 cup sour cream', '1 teaspoon vanilla extract', '1 cup chopped walnuts', ""0.5 cup confectioners' sugar"", '2 teaspoons ground cinnamon', '2 tablespoons butter, melted']",12 servings,"{'calories': '364 kcal', 'carbohydrateContent': '40 g', 'cholesterolContent': '65 mg', 'fiberContent': '1 g', 'proteinContent': '5 g', 'saturatedFatContent': '10 g', 'sodiumContent': '236 mg', 'sugarContent': '22 g', 'fatContent': '21 g', 'unsaturatedFatContent': '0 g'}",dessert,jewish,usa,4326.12,63.690000000000005,249.87,479.5199999999999
Jewish Coffee Cake I,https://www.allrecipes.com/recipe/212833/jewish-coffee-cake-i/,https://www.allrecipes.com/thmb/aEuzx28tQQc5zw-xMS822pFEcFk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/896514-fc85f74fe7d645f59762529317cfccb7.jpg,"['2.5 cups all-purpose flour', '1.25 teaspoons baking powder', '1.25 teaspoons baking soda', '0.75 cup butter, softened', '1.25 cups white sugar', '3 eggs', '1 teaspoon vanilla extract', '1.25 cups sour cream', '0.25 cup butter, softened', '0.5 cup all-purpose flour', '0.25 cup white sugar', '1 teaspoon ground cinnamon']",20 servings,"{'calories': '250 kcal', 'carbohydrateContent': '30 g', 'cholesterolContent': '59 mg', 'fiberContent': '1 g', 'proteinContent': '3 g', 'saturatedFatContent': '8 g', 'sodiumContent': '193 mg', 'sugarContent': '15 g', 'fatContent': '13 g', 'unsaturatedFatContent': '0 g'}",dessert,jewish,usa,4959.16,66.63,257.72,604.85
Jewish Grandma's Best Beef Brisket,https://www.allrecipes.com/recipe/103067/jewish-grandmas-best-beef-brisket/,https://www.allrecipes.com/thmb/sbDFJfi-DzYX1E47nwxEz1lb0x0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8732472-54e53f631a70444f9fc84ed360595843.jpg,"['1 tablespoon vegetable oil', '1 (4 pound) beef brisket', 'ground black pepper to taste', '2 onions, thickly sliced', '2 cloves garlic, peeled and cut in half', 'salt and pepper to taste']",10 servings,"{'calories': '327 kcal', 'carbohydrateContent': '2 g', 'cholesterolContent': '75 mg', 'fiberContent': '0 g', 'proteinContent': '19 g', 'saturatedFatContent': '10 g', 'sodiumContent': '49 mg', 'sugarContent': '1 g', 'fatContent': '26 g', 'unsaturatedFatContent': '0 g'}",main,"jewish,uk_ireland","european,usa",5461.31,526.0899999999999,348.24999999999994,22.619999999999997
Jewish Style Sweet and Sour Brisket,https://www.allrecipes.com/recipe/212741/jewish-style-sweet-and-sour-brisket/,https://www.allrecipes.com/thmb/vjiKV_fNgmgASAYZpgG_PatUL4E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6474737-jewish-style-sweet-and-sour-brisket-Allrecipes-Magazine-1x1-1-d8911839c71141ba97946c72346b4dd8.jpg,"['4 pounds beef brisket', '1 cup water', '1 cup ketchup', '0.5 cup white vinegar', '2 onions, sliced', '1 clove garlic, minced', '0.75 cup brown sugar', '1 tablespoon salt']",10 servings,"{'calories': '401 kcal', 'carbohydrateContent': '24 g', 'cholesterolContent': '75 mg', 'fiberContent': '1 g', 'proteinContent': '19 g', 'saturatedFatContent': '10 g', 'sodiumContent': '1020 mg', 'sugarContent': '22 g', 'fatContent': '25 g', 'unsaturatedFatContent': '0 g'}",main,jewish,usa,6114.66,528.31,334.83,220.14
Jian Bing (Chinese Crepes),https://www.allrecipes.com/recipe/186731/jian-bing-chinese-crepes/,https://www.allrecipes.com/thmb/YbEZAx_e0JNh8J-CoM9N0xuqAKg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5169864-13234cb24496483bab6c0263b8b64411.jpg,"['2 tablespoons millet flour', '2 tablespoons soy milk', '0.5 teaspoon vegetable oil', '1 teaspoon water, if needed', '1 tablespoon Chinese black bean sauce', '1 teaspoon water', '0.5 teaspoon Asian chile pepper sauce, or to taste', '1 teaspoon water', 'cooking spray', '1 egg, beaten', '0.5 green onion, sliced', '1 tablespoon torn fresh cilantro leaves', '2 whole crackers']",1 serving,"{'calories': '220 kcal', 'carbohydrateContent': '20 g', 'cholesterolContent': '186 mg', 'fiberContent': '2 g', 'proteinContent': '10 g', 'saturatedFatContent': '3 g', 'sodiumContent': '265 mg', 'sugarContent': '2 g', 'fatContent': '11 g', 'unsaturatedFatContent': '0 g'}",appetizer,chinese,asian,230.87,9.790000000000001,12.43,19.32
Jibarito,https://www.allrecipes.com/recipe/82389/jibarito/,https://www.allrecipes.com/thmb/aQghK_yJdfOqm11VS3sUjlkJcpk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9252828-3d053d10e6da484590b89df0f34d26f0.jpg,"['2 cups vegetable oil for frying', '1 green plantain, peeled and halved lengthwise', '2 tablespoons vegetable oil', '1 clove garlic, minced', '4 ounces beef skirt steak, cut into thin strips', '0.25 medium yellow onion, thinly sliced', '1 pinch cumin', '1 pinch dried oregano', '1 tablespoon mayonnaise', '1 slice processed American cheese, cut in half', '2 slices tomato', '3 leaves lettuce']",1 serving,"{'calories': '1220 kcal', 'carbohydrateContent': '65 g', 'cholesterolContent': '68 mg', 'fiberContent': '6 g', 'proteinContent': '24 g', 'saturatedFatContent': '21 g', 'sodiumContent': '551 mg', 'sugarContent': '30 g', 'fatContent': '100 g', 'unsaturatedFatContent': '0 g'}",,state_il,usa,5090.009999999998,58.82000000000001,510.41,90.63
Jicama Mango Salad with Cilantro and Lime,https://www.allrecipes.com/recipe/233495/jicama-mango-salad-with-cilantro-and-lime/,https://www.allrecipes.com/thmb/wbDkNIUEYGgAXGsN3JqJ1aVZM1k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5268357-08a9b525dded4e65bb620f76bbe3e3ca.jpg,"['1 large jicama, peeled and cut into matchsticks', '1 small red bell pepper, cut into matchsticks', '1 large firm mango, peeled and cut into matchsticks', '0.5 red onion, cut into matchsticks', '0.5 cup chopped cilantro leaves', '2 limes, juiced', '0.25 cup honey', '1 teaspoon salt', '0.125 teaspoon cayenne pepper, or more to taste']",8 servings,"{'calories': '126 kcal', 'carbohydrateContent': '32 g', 'fiberContent': '9 g', 'proteinContent': '2 g', 'saturatedFatContent': '0 g', 'sodiumContent': '300 mg', 'sugarContent': '18 g', 'fatContent': '0 g', 'unsaturatedFatContent': '0 g'}",,state_ca,usa,1010.5600000000001,14.48,3.0300000000000002,252.94
Jicama and Pineapple Salad in a Cilantro Vinaigrette,https://www.allrecipes.com/recipe/166622/jicama-and-pineapple-salad-in-a-cilantro-vinaigrette/,https://www.allrecipes.com/thmb/R3Jybpj9xMlPiWyEf2R3bTYb1oA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9100241-54dc95d2169142528859392a3b4d6720.jpg,"['2 serrano peppers, seeded and minced', '2 tablespoons fresh lime juice', '2 tablespoons rice vinegar', '1 bunch fresh cilantro, minced', '0.5 teaspoon salt', '0.25 teaspoon ground black pepper', '0.25 cup olive oil', '0.5 fresh pineapple - peeled, cored, and cut into chunks', '1 jicama, peeled and julienned', '3 cups mixed baby greens', '1 avocado - peeled, pitted and diced']",4 servings,"{'calories': '360 kcal', 'carbohydrateContent': '44 g', 'fiberContent': '15 g', 'proteinContent': '4 g', 'saturatedFatContent': '3 g', 'sodiumContent': '321 mg', 'sugarContent': '21 g', 'fatContent': '21 g', 'unsaturatedFatContent': '0 g'}",salad,state_ca,usa,1099.49,21.849999999999998,88.04,75.67
Jiddo's Fatayer Sabanegh (Spinach Triangles),https://www.allrecipes.com/recipe/140412/jiddos-fatayer-sabanegh-spinach-triangles/,https://www.allrecipes.com/thmb/WUmZYJrFLUwuhf4TF9vTL66NWEU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1429022-44567c84d95a4a25aa3505e3f1b272ba.jpg,"['1.5 teaspoons white sugar', '1.5 teaspoons active dry yeast', '1.25 cups warm water (110 degrees F to 115 degrees F)', '1.5 teaspoons salt', '2 tablespoons olive oil', '3 cups whole wheat flour', '3 pounds fresh spinach, rinsed and stems removed', '2 medium onions, finely chopped', '0.66666668653488 cup lemon juice', '4 cloves garlic, finely chopped', '2 tablespoons chopped fresh basil leaves', '2 tablespoons chopped fresh mint leaves', '0.75 teaspoon garlic salt']",15 servings,"{'calories': '131 kcal', 'carbohydrateContent': '24 g', 'fiberContent': '5 g', 'proteinContent': '6 g', 'saturatedFatContent': '0 g', 'sodiumContent': '398 mg', 'sugarContent': '2 g', 'fatContent': '3 g', 'unsaturatedFatContent': '0 g'}",,lebanese,middle_eastern,1954.3600000000001,93.45000000000002,42.370000000000005,350.72999999999996
Jiffy® Corn Casserole,https://www.allrecipes.com/recipe/274670/jiffy-corn-casserole/,https://www.allrecipes.com/thmb/kjUygY70SbVFtOUrI2cYHIgh_W4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5932679-f3402bd7522740b3a576cbdbe0638d84.jpg,"['0.25 cup butter', '1 large onion, diced', '0.5 large green bell pepper, diced', '1 (4 ounce) jar chopped pimento peppers', '2 eggs', '1 (8 ounce) package corn muffin mix (such as Jiffy®)', '1 (4 ounce) can diced green chiles', '1 (15.25 ounce) can whole kernel corn, with liquid', '1 (15.25 ounce) can creamed corn', '1 pint sour cream', '1 cup shredded Cheddar cheese']",8 servings,"{'calories': '527 kcal', 'carbohydrateContent': '47 g', 'cholesterolContent': '125 mg', 'fiberContent': '3 g', 'proteinContent': '16 g', 'saturatedFatContent': '19 g', 'sodiumContent': '993 mg', 'sugarContent': '11 g', 'fatContent': '33 g', 'unsaturatedFatContent': '0 g'}",,state_az,usa,3036.36,77.33,197.17000000000002,262.24
