title,recipe_link,img_link,ingredients,yield,nutrients,region,subregion,meal_type,total_calories,total_protein,total_fat,total_carb
4H Banana Bread,https://www.allrecipes.com/recipe/6765/4h-banana-bread/,https://www.allrecipes.com/thmb/tNc6mAGoJ2a2mMgXIqQVV0W7v20=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1042616-4h-banana-bread-esky25-1x1-1-7e036ae9f9094092b5b5aa4fcc0f8cba.jpg,"['2 cups all-purpose flour', '0.5 teaspoon baking soda', '1 cup white sugar', '1 egg', '5 tablespoons milk', '1 teaspoon baking powder', '0.5 teaspoon salt', '0.5 cup margarine', '1 cup mashed bananas', '0.5 cup chopped walnuts']",12 servings,"{'calories': '265 kcal', 'carbohydrateContent': '38 g', 'cholesterolContent': '16 mg', 'fiberContent': '1 g', 'proteinContent': '4 g', 'saturatedFatContent': '2 g', 'sodiumContent': '287 mg', 'sugarContent': '20 g', 'fatContent': '12 g', 'unsaturatedFatContent': '0 g'}",usa,jewish,bread,3196.42,46.45,139.43,456.58
5 Cup Salad,https://www.allrecipes.com/recipe/230038/5-cup-salad/,https://www.allrecipes.com/thmb/3Tlyw9rPNyxEmgKLwlQGvewO_Qg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4503262-5-cup-salad-Becky-Evertz-4x3-1-9c28c8842c3248e89c9ae9a4375fa010.jpg,"['1 cup mini marshmallows', '1 cup shredded coconut', '1 cup drained mandarin oranges', '1 cup drained pineapple chunks', '1 cup sour cream']",8 servings,"{'calories': '157 kcal', 'carbohydrateContent': '19 g', 'cholesterolContent': '13 mg', 'fiberContent': '1 g', 'proteinContent': '2 g', 'saturatedFatContent': '6 g', 'sodiumContent': '51 mg', 'sugarContent': '15 g', 'fatContent': '9 g', 'unsaturatedFatContent': '0 g'}",usa,state_ca,na,1254.75,11.8,69.2,160.47
7-Layer Greek Dip,https://www.allrecipes.com/recipe/261469/7-layer-greek-dip/,https://www.allrecipes.com/thmb/sak03O7xgbDcsuS7oe_ssg5k3XE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1028695-ac7b775dff21472987770de745f17dd4.jpg,"['1 (10 ounce) container hummus spread', '1 teaspoon Greek seasoning', '5 ounces feta cheese', '3 ounces Kalamata olives, pitted and sliced', '1 large English cucumber, diced', '1 pound tzatziki sauce', '1 pint grape tomatoes, diced', '3 green onions, chopped', '2 (8 ounce) packages pita chips']",12 servings,"{'calories': '314 kcal', 'carbohydrateContent': '34 g', 'cholesterolContent': '11 mg', 'fiberContent': '6 g', 'proteinContent': '9 g', 'saturatedFatContent': '2 g', 'sodiumContent': '599 mg', 'sugarContent': '5 g', 'fatContent': '44 g', 'unsaturatedFatContent': '0 g'}",european,greek,appetizer,3624.52,113.02,179.56,406.38
7Up® Buttermilk Biscuits,https://www.allrecipes.com/recipe/240318/7up-buttermilk-biscuits/,https://www.allrecipes.com/thmb/vi8Q-h-6vDi-GgvHttP_x0By3rk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2147324-f46a0138c3574e96b6065b2f9648b96a.jpg,"['0.25 cup butter, melted', '5 cups all-purpose buttermilk baking mix', '1 cup lemon-lime soda (such as 7Up®)', '1 cup sour cream', '0.25 cup butter, softened']",15 servings,"{'calories': '222 kcal', 'carbohydrateContent': '21 g', 'cholesterolContent': '23 mg', 'proteinContent': '3 g', 'saturatedFatContent': '7 g', 'sodiumContent': '381 mg', 'sugarContent': '2 g', 'fatContent': '14 g', 'unsaturatedFatContent': '0 g'}",usa,state_ky,na,2408.06,57.58,167.06,176.21
A Drama Queen's Pavlova,https://www.allrecipes.com/recipe/83706/a-drama-queens-pavlova/,https://www.allrecipes.com/thmb/Q5uXNEajBZ3FBwOjneD_XVF8zcU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/870831-e2b2d43e1bbd4434970f6deff49825b2.jpg,"['6 egg whites', '1 pinch salt', '1.5 teaspoons vinegar', '2 cups castor sugar or superfine sugar', '1.5 teaspoons vanilla extract', '0.5 cup unsweetened flaked coconut', '2 cups sweetened whipped cream', '1 cup fresh strawberries, sliced', '2 kiwifruit, peeled, halved lengthwise, and sliced', '1 fresh peach - peeled, pitted and sliced', '0.5 cup fresh blueberries']",12 servings,"{'calories': '207 kcal', 'carbohydrateContent': '40 g', 'cholesterolContent': '8 mg', 'fiberContent': '1 g', 'proteinContent': '3 g', 'saturatedFatContent': '4 g', 'sodiumContent': '56 mg', 'sugarContent': '37 g', 'fatContent': '5 g', 'unsaturatedFatContent': '0 g'}",austrailia_new_zealand,austrailia_new_zealand,"na,na",2439.41,31.62,40.82,504.38
A Homemade San Francisco Treat: Chicken Vermicelli Rice,https://www.allrecipes.com/recipe/235796/a-homemade-san-francisco-treat-chicken-vermicelli-rice/,https://www.allrecipes.com/thmb/opm354VWw6t6fW8L7sDMQf5PnOI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1078173-c364ed62455d4ab6ba4e86baf97cf0fd.jpg,"['1 tablespoon butter', '1 cup white rice', '0.25 cup broken pieces vermicelli pasta', '3 cups water', '1 tablespoon chicken bouillon granules', '2 teaspoons dried parsley', '0.25 teaspoon garlic powder', '0.25 teaspoon onion powder']",4 servings,"{'calories': '224 kcal', 'carbohydrateContent': '42 g', 'cholesterolContent': '8 mg', 'fiberContent': '1 g', 'proteinContent': '5 g', 'saturatedFatContent': '2 g', 'sodiumContent': '311 mg', 'sugarContent': '1 g', 'fatContent': '4 g', 'unsaturatedFatContent': '0 g'}",usa,state_ca,na,386.13,7.87,13.19,57.96
A Minnesotan's Beef and Macaroni Hotdish,https://www.allrecipes.com/recipe/262326/a-minnesotans-beef-and-macaroni-hotdish/,https://www.allrecipes.com/thmb/w9RcsIGEXsL7Bu5FPArpowJo8U8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5051887-a-minnesotans-beef-and-macaroni-hotdish-lutzflcat-1x1-1-8f403cf1d9534ca7a419caf08ebaa1fd.jpg,"['1 pound ground beef', '2 cups elbow macaroni', '0.5 large green bell pepper, coarsely chopped', '0.5 large onion, chopped', '1 (16 ounce) can tomato sauce', '1 pound tomatoes, coarsely chopped', '2 teaspoons Worcestershire sauce', '1 teaspoon soy sauce', '1 teaspoon salt', '0.75 teaspoon dried basil', '0.75 teaspoon dried oregano', '0.5 teaspoon ground black pepper', '0.5 teaspoon chili powder', '0.25 teaspoon garlic powder', '0.125 teaspoon hot pepper sauce (such as Tabasco®)', '1 cup beef broth']",6 servings,"{'calories': '336 kcal', 'carbohydrateContent': '36 g', 'cholesterolContent': '46 mg', 'fiberContent': '4 g', 'proteinContent': '20 g', 'saturatedFatContent': '5 g', 'sodiumContent': '1040 mg', 'sugarContent': '7 g', 'fatContent': '13 g', 'servingSize': '9 1/2 cups', 'unsaturatedFatContent': '0 g'}",usa,state_mn,na,1905.39,151.77,84.5,134.95
A Number One Egg Bread,https://www.allrecipes.com/recipe/6879/a-number-one-egg-bread/,https://www.allrecipes.com/thmb/481-pgvToVK9u0bP9gLYGlC1AXg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2752465-495924b50e174ede83088b042295c3f3.jpg,"['2 (.25 ounce) packages active dry yeast', '0.66666698455811 cup warm water (110 degrees F/45 degrees C)', '6 egg yolks', '3 eggs, room temperature', '0.5 cup vegetable oil', '0.25 cup white sugar', '1 teaspoon salt', '4.5 cups all-purpose flour', '1 egg', '1 pinch salt']",18 servings,"{'calories': '214 kcal', 'carbohydrateContent': '27 g', 'cholesterolContent': '110 mg', 'fiberContent': '1 g', 'proteinContent': '6 g', 'saturatedFatContent': '2 g', 'sodiumContent': '148 mg', 'sugarContent': '3 g', 'fatContent': '9 g', 'unsaturatedFatContent': '0 g'}",austrailia_new_zealand,austrailia_new_zealand,"na,na",4026.31,125.21,165.46,510.62
A Number One Egg Bread,https://www.allrecipes.com/recipe/6879/a-number-one-egg-bread/,https://www.allrecipes.com/thmb/481-pgvToVK9u0bP9gLYGlC1AXg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2752465-495924b50e174ede83088b042295c3f3.jpg,"['2 (.25 ounce) packages active dry yeast', '0.66666698455811 cup warm water (110 degrees F/45 degrees C)', '6 egg yolks', '3 eggs, room temperature', '0.5 cup vegetable oil', '0.25 cup white sugar', '1 teaspoon salt', '4.5 cups all-purpose flour', '1 egg', '1 pinch salt']",18 servings,"{'calories': '214 kcal', 'carbohydrateContent': '27 g', 'cholesterolContent': '110 mg', 'fiberContent': '1 g', 'proteinContent': '6 g', 'saturatedFatContent': '2 g', 'sodiumContent': '148 mg', 'sugarContent': '3 g', 'fatContent': '9 g', 'unsaturatedFatContent': '0 g'}",usa,state_hi,na,4026.31,125.21,165.46,510.62
A Pad Thai Worth Making,https://www.allrecipes.com/recipe/109334/a-pad-thai-worth-making/,https://www.allrecipes.com/thmb/ucgfeHQj-fSK7tDAIXPOMcngytU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/image-640-d1a29105fe734b0db203804f779c8f70.jpg,"['1 (8 ounce) package dried flat rice noodles', '3 tablespoons fish sauce', '0.25 cup fresh lime juice', '1 tablespoon white sugar', '2 tablespoons oyster sauce', '5 teaspoons Asian chile pepper sauce, divided', '0.25 cup chicken stock', '0.25 cup vegetable oil', '1 tablespoon chopped garlic', '8 ounces medium shrimp - peeled and deveined', '8 ounces skinless, boneless chicken breast halves - cut into 1 inch cubes', '2 large eggs, beaten', '3 cups bean sprouts', '6 medium green onions, chopped into 1 inch pieces', '2 tablespoons chopped unsalted dry-roasted peanuts', '0.25 cup chopped fresh cilantro', '1 medium lime, cut into 8 wedges', '2 cups bean sprouts']",3 servings,"{'calories': '742 kcal', 'carbohydrateContent': '83 g', 'cholesterolContent': '280 mg', 'fiberContent': '6 g', 'proteinContent': '41 g', 'saturatedFatContent': '5 g', 'sodiumContent': '1591 mg', 'sugarContent': '11 g', 'fatContent': '28 g', 'unsaturatedFatContent': '0 g'}",asian,thai,"main,main",2307.3,198.91,88.9,204.95
A Scotsman's Shepherd Pie,https://www.allrecipes.com/recipe/235985/a-scotsmans-shepherd-pie/,https://www.allrecipes.com/thmb/cPCyEaHi8JBHQ6HInU_AuPP450I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/image-535-4f0ac56861ad4aaabb0b6370cb784873.jpg,"['5 cups mashed, boiled potatoes', '0.5 cup sour cream', '2 ounces cream cheese', '2 tablespoons butter, softened, divided', '1 egg yolk', '0.5 teaspoon kosher salt', '0.5 teaspoon freshly ground black pepper', '1.5 teaspoons olive oil', '1 pound ground lamb', '1 pinch salt and ground black pepper to taste', '1 (16 ounce) can stewed tomatoes with juice, chopped', '1 small onion, chopped', '1 small carrot, peeled and chopped', '0.5 cup peas', '1 cup Irish stout beer (such as Guinness®)', '1 cube beef bouillon', '1 tablespoon all-purpose flour', '1 tablespoon Worcestershire sauce', '0.75 cup shredded sharp Cheddar cheese', '2 teaspoons chopped fresh parsley', '2 teaspoons smoked paprika']",8 servings,"{'calories': '386 kcal', 'carbohydrateContent': '30 g', 'cholesterolContent': '97 mg', 'fiberContent': '3 g', 'proteinContent': '17 g', 'saturatedFatContent': '11 g', 'sodiumContent': '561 mg', 'sugarContent': '5 g', 'fatContent': '21 g', 'unsaturatedFatContent': '0 g'}",european,uk_ireland,"na,na,na,na",3962.23,190.33,225.85,270.4
A Slice of Heaven (Baked Corned Beef),https://www.allrecipes.com/recipe/241513/a-slice-of-heaven-baked-corned-beef/,https://www.allrecipes.com/thmb/Dn5vG-JyDRPliROJArz27xcR3eI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4220841-ea54abb395ad4de7bd85f357b7973efa.jpg,"['3 pounds corned beef brisket', '0.25 cup brown sugar']",10 servings,"{'calories': '163 kcal', 'carbohydrateContent': '4 g', 'cholesterolContent': '58 mg', 'proteinContent': '11 g', 'saturatedFatContent': '4 g', 'sodiumContent': '676 mg', 'sugarContent': '4 g', 'fatContent': '11 g', 'unsaturatedFatContent': '0 g'}",european,uk_ireland,na,4106.02,392.23,250.65,44.75
A Southern Fried Chicken,https://www.allrecipes.com/recipe/57676/a-southern-fried-chicken/,https://www.allrecipes.com/thmb/bUpfgffZwkVjsMxgh8Ux1GDWUIA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2735695-a-southern-fried-chicken-Old-Lady-4x3-1-1505cc15dc6d45fcafc6f5cb97e62e56.jpg,"['3 cups all-purpose flour', '1 tablespoon seasoned salt', '1 tablespoon garlic powder', '1 tablespoon onion powder', '1 tablespoon coarse ground black pepper', '2 eggs', '4 cups buttermilk', '1 cup barbeque sauce', '2 tablespoons Worcestershire sauce', '1 tablespoon steak sauce', '1 (3 pound) whole chicken, cut into pieces', '2 cups oil for frying']",6 servings,"{'calories': '806 kcal', 'carbohydrateContent': '79 g', 'cholesterolContent': '183 mg', 'fiberContent': '3 g', 'proteinContent': '51 g', 'saturatedFatContent': '8 g', 'sodiumContent': '1323 mg', 'sugarContent': '20 g', 'fatContent': '30 g', 'unsaturatedFatContent': '0 g'}",usa,southern,"main,main,na",9719.8,461.01,657.27,477.49
A-Plus Italian Olive Oil Balsamic Bread Dip,https://www.allrecipes.com/recipe/214601/a-plus-italian-olive-oil-balsamic-bread-dip/,https://www.allrecipes.com/thmb/NW0DXKOzpbiljyn5psIzIm32H4o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/582109-38c34a5b476d45cabd089abee65e771f.jpg,"['3 large cloves garlic, minced', '2 tablespoons balsamic vinegar', '5 tablespoons extra-virgin olive oil', '0.5 teaspoon crushed red pepper flakes', '1 teaspoon fresh rosemary, chopped', '1 pinch salt and black pepper']",4 servings,"{'calories': '164 kcal', 'carbohydrateContent': '3 g', 'fiberContent': '0 g', 'proteinContent': '0 g', 'saturatedFatContent': '2 g', 'sodiumContent': '3 mg', 'sugarContent': '1 g', 'fatContent': '17 g', 'unsaturatedFatContent': '0 g'}",european,italian,appetizer,647.61,1.1,67.81,10.51
"ABC Pudding - Avocado, Banana, Chocolate Delight",https://www.allrecipes.com/recipe/220827/abc-pudding-avocado-banana-chocolate-delight/,https://www.allrecipes.com/thmb/wIiBONw3tmUrxjIUN3fsLnKPOno=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1043272-a59adb56d32d47309f87cb42b574f9ae.jpg,"['1 ripe avocado, peeled and pitted', '4 very ripe bananas', '0.25 cup unsweetened cocoa powder, plus more for garnish']",6 servings,"{'calories': '132 kcal', 'carbohydrateContent': '23 g', 'fiberContent': '6 g', 'proteinContent': '2 g', 'saturatedFatContent': '1 g', 'sodiumContent': '4 mg', 'sugarContent': '10 g', 'fatContent': '6 g', 'unsaturatedFatContent': '0 g'}",usa,southern,dessert,823.68,13.16,33.03,136.95
ANZAC Biscuits with Almonds,https://www.allrecipes.com/recipe/19286/anzac-biscuits-with-almonds/,https://www.allrecipes.com/thmb/WK7FidvHwP2Xg_VKtLSm4hsM_qw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9328676-5b385429e18b4c1ba3171173a2c7ad95.jpg,"['2 cups quick cooking oats', '1.75 cups all-purpose flour', '0.5 cup sliced almonds', '1 cup white sugar', '1 cup melted butter', '1 teaspoon baking soda', '2 tablespoons golden syrup', '2 tablespoons boiling water']",50 servings,"{'calories': '85 kcal', 'carbohydrateContent': '10 g', 'cholesterolContent': '10 mg', 'fiberContent': '1 g', 'proteinContent': '1 g', 'saturatedFatContent': '2 g', 'sodiumContent': '52 mg', 'sugarContent': '4 g', 'fatContent': '5 g', 'unsaturatedFatContent': '0 g'}",austrailia_new_zealand,austrailia_new_zealand,"na,na",4235.54,57.47,224.23,516.4
Aargau Carrot Cake,https://www.allrecipes.com/recipe/8356/aargau-carrot-cake/,https://www.allrecipes.com/thmb/1KJBS8M5k6sazmcNj-0Gni2WXp4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/243456-5ad37ba833f4447d9df582c970170ad4.jpg,"['3 eggs', '0.75 cup white sugar', '1.5 teaspoons grated lemon zest', '2 tablespoons fresh lemon juice', '1 cup grated carrots', '1 cup ground almonds', '0.25 cup all-purpose flour', '1 teaspoon baking powder', '1 pinch salt', ""0.75 cup confectioners' sugar"", '1 tablespoon lemon juice']",12 servings,"{'calories': '192 kcal', 'carbohydrateContent': '26 g', 'cholesterolContent': '47 mg', 'fiberContent': '2 g', 'proteinContent': '5 g', 'saturatedFatContent': '1 g', 'sodiumContent': '65 mg', 'sugarContent': '21 g', 'fatContent': '9 g', 'unsaturatedFatContent': '0 g'}",european,swiss,na,2113.16,52.24,87.44,301.44
