title,recipe_link,img_link,ingredients,yield,nutrients,region,subregion,meal_type,total_calories,total_protein,total_fat,total_carb
Crissi's Sweet Potato Biscuits,https://www.allrecipes.com/recipe/79564/crissis-sweet-potato-biscuits/,https://www.allrecipes.com/thmb/v0d-RLqbYV54suO6UQAm9QDWaCo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/22459-3ad1d94e8d804b3e957f2d66361f2e8a.jpg,"['1 cup sifted all-purpose flour', '0.25 cup toasted wheat germ', '2 tablespoons baking powder', '0.5 teaspoon salt', '0.33333334326744 cup butter, melted', '0.25 cup evaporated milk, heated', '1 cup mashed sweet potatoes', '2 tablespoons milk', '1 pinch ground nutmeg']",6 servings,"{'calories': '230 kcal', 'carbohydrateContent': '27 g', 'cholesterolContent': '31 mg', 'fiberContent': '2 g', 'proteinContent': '5 g', 'saturatedFatContent': '7 g', 'sodiumContent': '618 mg', 'sugarContent': '2 g', 'fatContent': '12 g', 'unsaturatedFatContent': '0 g'}",usa,southern,"bread,na",1576.59,28.85,86.06,180.58
Crissi's Sweet Potato Biscuits,https://www.allrecipes.com/recipe/79564/crissis-sweet-potato-biscuits/,https://www.allrecipes.com/thmb/v0d-RLqbYV54suO6UQAm9QDWaCo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/22459-3ad1d94e8d804b3e957f2d66361f2e8a.jpg,"['1 cup sifted all-purpose flour', '0.25 cup toasted wheat germ', '2 tablespoons baking powder', '0.5 teaspoon salt', '0.33333334326744 cup butter, melted', '0.25 cup evaporated milk, heated', '1 cup mashed sweet potatoes', '2 tablespoons milk', '1 pinch ground nutmeg']",6 servings,"{'calories': '230 kcal', 'carbohydrateContent': '27 g', 'cholesterolContent': '31 mg', 'fiberContent': '2 g', 'proteinContent': '5 g', 'saturatedFatContent': '7 g', 'sodiumContent': '618 mg', 'sugarContent': '2 g', 'fatContent': '12 g', 'unsaturatedFatContent': '0 g'}",usa,state_va,na,1576.59,28.85,86.06,180.58
Croissants,https://www.allrecipes.com/recipe/6916/croissants/,https://www.allrecipes.com/thmb/fLhbwtqRYTCbs2i7xm5yCsmjmBQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5272365-40eed484936a41b8b03cf4c40e43291a.jpg,"['3 tablespoons warm water (110 degrees F/45 degrees C)', '1.25 teaspoons active dry yeast', '1 teaspoon white sugar', '1.75 cups all-purpose flour', '0.66666668653488 cup warm milk', '2 teaspoons white sugar', '1.5 teaspoons salt', '2 tablespoons vegetable oil', '0.66666668653488 cup unsalted butter, chilled', '1 large egg', '1 tablespoon water']",12 servings,"{'calories': '196 kcal', 'carbohydrateContent': '16 g', 'cholesterolContent': '46 mg', 'fiberContent': '1 g', 'proteinContent': '3 g', 'saturatedFatContent': '7 g', 'sodiumContent': '304 mg', 'sugarContent': '2 g', 'fatContent': '13 g', 'unsaturatedFatContent': '0 g'}",european,french,bread,2344.81,37.58,161.03,189.83
Crookneck Squash and Tomatoes,https://www.allrecipes.com/recipe/64839/crookneck-squash-and-tomatoes/,https://www.allrecipes.com/thmb/wHBhMKPloUoQ_tLSEWBMdARr5-0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2282901-dcd019b4aaa7491dbac32d08c8fe808f.jpg,"['4 yellow squash, sliced', '4 medium tomatoes, sliced', '2 green onions, chopped', '2 tablespoons red wine vinegar', '2 tablespoons olive oil', '1 tablespoon Dijon mustard', '0.5 teaspoon salt', '0.25 teaspoon freshly ground black pepper']",8 servings,"{'calories': '64 kcal', 'carbohydrateContent': '7 g', 'fiberContent': '3 g', 'proteinContent': '2 g', 'saturatedFatContent': '1 g', 'sodiumContent': '198 mg', 'sugarContent': '2 g', 'fatContent': '4 g', 'unsaturatedFatContent': '0 g'}",usa,state_ut,na,626.78,17.97,32.82,81.62
Croque Madame,https://www.allrecipes.com/recipe/282251/croque-madame-sandwich/,https://www.allrecipes.com/thmb/_m-Wxj1B3O04hGpmPUf2Ljo6978=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8934841-e583fddcb9bb44e4b35b10197f8eb818.jpg,"['4 tablespoons salted butter, softened, divided', '1.5 tablespoons all-purpose flour', '1 cup milk', '2 ounces shredded Gruyère cheese', '0.25 teaspoon salt, or to taste', '0.25 teaspoon ground black pepper, or to taste', '0.125 teaspoon ground nutmeg', '4 slices white bread, lightly toasted', '2 teaspoons Dijon mustard', '2 thin slices Black Forest ham', '2 large eggs', '1 tablespoon water', '1 teaspoon chopped fresh dill, or to taste']",2 servings,"{'calories': '639 kcal', 'carbohydrateContent': '37 g', 'cholesterolContent': '294 mg', 'fiberContent': '2 g', 'proteinContent': '25 g', 'saturatedFatContent': '24 g', 'sodiumContent': '1264 mg', 'sugarContent': '8 g', 'fatContent': '43 g', 'unsaturatedFatContent': '0 g'}",european,french,main,1357.55,60.83,84.79,88.19
Croque Madame on Brioche,https://www.allrecipes.com/recipe/282252/croque-madame-on-brioche/,https://www.allrecipes.com/thmb/TBcctUuA3tqUw7GZ43-i-wszKP0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9395774-748fe5b7207947218432775640179204.jpg,"['4 tablespoons salted butter, divided', '1 tablespoon all-purpose flour', '1 cup whole milk', '2 teaspoons Dijon mustard', '0.125 teaspoon freshly grated nutmeg', 'salt and ground black pepper to taste', '2 teaspoons white vinegar', '2 large eggs', '2 (1 inch) thick slices brioche bread', '2 slices deli ham', '2 slices Gruyere cheese', '1 teaspoon chopped fresh chives, or to taste', '0.25 teaspoon smoked paprika', '2 slices plum tomato']",2 servings,"{'calories': '826 kcal', 'carbohydrateContent': '47 g', 'cholesterolContent': '378 mg', 'fiberContent': '2 g', 'proteinContent': '32 g', 'saturatedFatContent': '28 g', 'sodiumContent': '1181 mg', 'sugarContent': '13 g', 'fatContent': '57 g', 'unsaturatedFatContent': '0 g'}",european,french,main,1284.92,51.96,96.41,53.92
Croque-Monsieur,https://www.allrecipes.com/recipe/49195/croque-monsieur/,https://www.allrecipes.com/thmb/TDg9FcmDfe6sn5XeKEt4i98qxCk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/29999-d2c2772e5f33483e8e6441da64c13449.jpg,"['1 tablespoon Dijon mustard', '2 tablespoons mayonnaise', '4 tablespoons butter or margarine, softened', '6 slices white bread', '6 slices Swiss cheese', '12 slices thinly sliced deli ham', '4 tablespoons all-purpose flour', '0.5 teaspoon baking powder', '0.25 teaspoon salt', '2 eggs', '0.25 cup water', '1 tablespoon vegetable oil']",3 servings,"{'calories': '961 kcal', 'carbohydrateContent': '38 g', 'cholesterolContent': '284 mg', 'fiberContent': '2 g', 'proteinContent': '46 g', 'saturatedFatContent': '31 g', 'sodiumContent': '2492 mg', 'sugarContent': '3 g', 'fatContent': '69 g', 'unsaturatedFatContent': '0 g'}",european,french,main,2359.6,116.41,156.4,122.03
Crostini,https://www.allrecipes.com/recipe/88454/crostini/,https://www.allrecipes.com/thmb/Qs7vaFKOh7KWTPD81KrAhrRhmPg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9435166-b386f709bc7c4f9d8d289b2da464bcaf.jpg,"['1 French baguette, cut into diagonal 1/2 inch slices', '0.25 cup olive oil', '0.25 cup butter or margarine', '2 cloves garlic, minced', 'salt and pepper to taste', '0.25 cup grated Parmesan cheese']",6 servings,"{'calories': '382 kcal', 'carbohydrateContent': '43 g', 'cholesterolContent': '23 mg', 'fiberContent': '2 g', 'proteinContent': '10 g', 'saturatedFatContent': '7 g', 'sodiumContent': '598 mg', 'sugarContent': '2 g', 'fatContent': '19 g', 'unsaturatedFatContent': '0 g'}",european,italian,appetizer,1880.2,42.83,114.87,173.76
Crostini with Mozzarella and Tomato,https://www.allrecipes.com/recipe/33234/crostini-with-mozzarella-and-tomato/,https://www.allrecipes.com/thmb/4EnilDQHfTTWZy5qGk8HqjKu2hg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6631442-06c9d2a032ea476cbdc4cdbd0a54e239.jpg,"['1 French baguette, cut into diagonal 1/2 inch slices', '3 tablespoons extra virgin olive oil', '4 cloves garlic, halved', '6 plum tomatoes, seeded and chopped', '1 bunch fresh basil, julienned', '1 pound fresh mozzarella cheese, sliced']",8 servings,"{'calories': '385 kcal', 'carbohydrateContent': '36 g', 'cholesterolContent': '45 mg', 'fiberContent': '2 g', 'proteinContent': '18 g', 'saturatedFatContent': '9 g', 'sodiumContent': '453 mg', 'sugarContent': '4 g', 'fatContent': '18 g', 'unsaturatedFatContent': '0 g'}",european,italian,appetizer,2455.37,140.67,123.77,197.51
Crumb Coffee Cake with Peach Preserves,https://www.allrecipes.com/recipe/281494/crumb-coffee-cake-with-peach-preserves/,https://www.allrecipes.com/thmb/TlDhuKvcQhNeKB_AioMzCpchrzc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8487651-bc78de69c7f644618a3104d9ee3a4774.jpg,"['2 cups all-purpose flour', '1 cup white sugar', '0.66666668653488 cup softened unsalted butter', '1 teaspoon salt', '1 teaspoon baking powder', '0.5 teaspoon baking soda', '0.75 cup buttermilk', '1 large egg', '1 teaspoon vanilla extract', '0.75 cup peach preserves', '0.5 cup finely chopped almonds', '0.33333334326744 cup light brown sugar', '0.5 teaspoon ground cinnamon']",10 servings,"{'calories': '412 kcal', 'carbohydrateContent': '65 g', 'cholesterolContent': '52 mg', 'fiberContent': '1 g', 'proteinContent': '5 g', 'saturatedFatContent': '8 g', 'sodiumContent': '375 mg', 'sugarContent': '44 g', 'fatContent': '16 g', 'unsaturatedFatContent': '0 g'}",usa,southern,dessert,4192.35,53.07,163.9,639.79
Crunchies,https://www.allrecipes.com/recipe/10957/crunchies/,https://www.allrecipes.com/thmb/MVPJbFK4hMSnmHPtQ6_pHhi7ZYE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5834092-ab26681827df460383ee7ab13c90e904.jpg,"['1 tablespoon golden syrup', '0.875 cup butter', '1 teaspoon baking soda', '1 cup flaked coconut', '1 cup all-purpose flour', '1 cup white sugar', '2 cups rolled oats']",30 servings,"{'calories': '122 kcal', 'carbohydrateContent': '15 g', 'cholesterolContent': '14 mg', 'fiberContent': '1 g', 'proteinContent': '1 g', 'saturatedFatContent': '4 g', 'sodiumContent': '88 mg', 'sugarContent': '8 g', 'fatContent': '7 g', 'servingSize': '2 - 1/2 dozen', 'unsaturatedFatContent': '0 g'}",austrailia_new_zealand,austrailia_new_zealand,"na,na",3717,38.63,197.66,463.3
Crunchy Catfish Nuggets,https://www.allrecipes.com/recipe/47410/crunchy-catfish-nuggets/,https://www.allrecipes.com/thmb/h-8NIDalSceBzQ62G3JNn4ozPW0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8354799-dea2960cc99e48c68b0e06b8866464db.jpg,"['0.5 cup dry bread crumbs', '0.5 teaspoon lemon pepper', '0.5 cup egg substitute', '2 (4 ounce) fillets catfish, cut into 1 inch pieces', '2 tablespoons vegetable oil']",4 servings,"{'calories': '217 kcal', 'carbohydrateContent': '10 g', 'cholesterolContent': '27 mg', 'fiberContent': '1 g', 'proteinContent': '14 g', 'saturatedFatContent': '2 g', 'sodiumContent': '242 mg', 'sugarContent': '1 g', 'fatContent': '13 g', 'unsaturatedFatContent': '0 g'}",usa,southern,main,719.41,61.1,32.77,41.81
Crunchy Catfish Nuggets,https://www.allrecipes.com/recipe/47410/crunchy-catfish-nuggets/,https://www.allrecipes.com/thmb/h-8NIDalSceBzQ62G3JNn4ozPW0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8354799-dea2960cc99e48c68b0e06b8866464db.jpg,"['0.5 cup dry bread crumbs', '0.5 teaspoon lemon pepper', '0.5 cup egg substitute', '2 (4 ounce) fillets catfish, cut into 1 inch pieces', '2 tablespoons vegetable oil']",4 servings,"{'calories': '217 kcal', 'carbohydrateContent': '10 g', 'cholesterolContent': '27 mg', 'fiberContent': '1 g', 'proteinContent': '14 g', 'saturatedFatContent': '2 g', 'sodiumContent': '242 mg', 'sugarContent': '1 g', 'fatContent': '13 g', 'unsaturatedFatContent': '0 g'}",usa,state_ar,na,719.41,61.1,32.77,41.81
Crusted Salmon with Honey-Mustard Sauce,https://www.allrecipes.com/recipe/184585/crusted-salmon-with-honey-mustard-sauce/,https://www.allrecipes.com/thmb/3hEH5CEbb3RtFI-zIAxk-WnLxYg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/535765-2f1706b0fb9f457495fff95cd8f93ca5.jpg,"['1 (1.5 pound) skinless center-cut salmon fillet, cut into 4 pieces', '1 cup milk', '0.25 cup fine bread crumbs', '2 tablespoons grated Parmesan cheese', '1 egg', '0.25 cup butter, melted', '1 tablespoon prepared yellow mustard', '1 tablespoon honey']",4 servings,"{'calories': '476 kcal', 'carbohydrateContent': '13 g', 'cholesterolContent': '167 mg', 'fiberContent': '0 g', 'proteinContent': '35 g', 'saturatedFatContent': '12 g', 'sodiumContent': '336 mg', 'sugarContent': '8 g', 'fatContent': '31 g', 'unsaturatedFatContent': '0 g'}",usa,state_de,na,2128,146.64,131.2,86.5
Crusted Salmon with Honey-Mustard Sauce,https://www.allrecipes.com/recipe/184585/crusted-salmon-with-honey-mustard-sauce/,https://www.allrecipes.com/thmb/3hEH5CEbb3RtFI-zIAxk-WnLxYg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/535765-2f1706b0fb9f457495fff95cd8f93ca5.jpg,"['1 (1.5 pound) skinless center-cut salmon fillet, cut into 4 pieces', '1 cup milk', '0.25 cup fine bread crumbs', '2 tablespoons grated Parmesan cheese', '1 egg', '0.25 cup butter, melted', '1 tablespoon prepared yellow mustard', '1 tablespoon honey']",4 servings,"{'calories': '476 kcal', 'carbohydrateContent': '13 g', 'cholesterolContent': '167 mg', 'fiberContent': '0 g', 'proteinContent': '35 g', 'saturatedFatContent': '12 g', 'sodiumContent': '336 mg', 'sugarContent': '8 g', 'fatContent': '31 g', 'unsaturatedFatContent': '0 g'}",usa,state_id,na,2128,146.64,131.2,86.5
Crème Fraîche Chicken,https://www.allrecipes.com/recipe/9006/creme-fraiche-chicken/,https://www.allrecipes.com/thmb/b4S56rLUXKTCHoYU6oSJexsterA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4508228-874712daa7ac474b9e4d6ea592e5ae67.jpg,"['1 tablespoon olive oil', '6 skinless, boneless chicken breast halves', '0.25 cup white wine', 'salt and pepper to taste', '1 (8 ounce) package penne or other pasta of your choice', '1 large white onion, chopped', '1 tablespoon chopped garlic', '2 (8 ounce) packages sliced fresh mushrooms', '2 cups creme fraiche', '3 tablespoons sour cream', '0.5 cup grated Parmesan cheese for topping']",6 servings,"{'calories': '708 kcal', 'carbohydrateContent': '35 g', 'cholesterolContent': '256 mg', 'fiberContent': '3 g', 'proteinContent': '48 g', 'saturatedFatContent': '26 g', 'sodiumContent': '270 mg', 'sugarContent': '6 g', 'fatContent': '43 g', 'unsaturatedFatContent': '0 g'}",european,french,na,4333.52,281.97,265.82,172.8
Cuban Beans and Rice,https://www.allrecipes.com/recipe/21574/cuban-beans-and-rice/,https://www.allrecipes.com/thmb/Bb9TgWChpwBkIWKk1S088jkHupQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9409445-37804a59a27645d8b3f5ea9cc2fffcf8.jpg,"['1 tablespoon olive oil', '1 cup chopped onion', '1 green bell pepper, chopped', '2 cloves garlic, minced', '1 teaspoon salt', '4 tablespoons tomato paste', '1 (15.25 ounce) can kidney beans, drained with liquid reserved', '1 cup uncooked white rice']",6 servings,"{'calories': '258 kcal', 'carbohydrateContent': '49 g', 'cholesterolContent': '2 mg', 'fiberContent': '5 g', 'proteinContent': '7 g', 'saturatedFatContent': '0 g', 'sodiumContent': '750 mg', 'sugarContent': '9 g', 'fatContent': '3 g', 'unsaturatedFatContent': '0 g'}",usa,jewish,main,1599.89,57.07,20.38,302.08
Cuban Marinated Steak,https://www.allrecipes.com/recipe/232415/cuban-marinated-steak/,https://www.allrecipes.com/thmb/L5sDTRj358AiciStRF_QBokHc8Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1017482-dbb1583def7e43fab46fc2cd03caddbf.jpg,"['0.5 teaspoon cumin seeds', '0.25 cup orange juice', '2 tablespoons vegetable oil', '2 tablespoons Montreal-style steak seasoning', '2.25 teaspoons lime juice', '1.5 teaspoons dried oregano', '1.5 pounds beef rib-eye steaks']",4 servings,"{'calories': '245 kcal', 'carbohydrateContent': '4 g', 'cholesterolContent': '59 mg', 'fiberContent': '1 g', 'proteinContent': '21 g', 'saturatedFatContent': '4 g', 'sodiumContent': '1428 mg', 'sugarContent': '1 g', 'fatContent': '16 g', 'unsaturatedFatContent': '0 g'}",usa,state_fl,"na,na",2311.07,201.47,157.73,16.38
Cuban Mojito,https://www.allrecipes.com/recipe/152219/cuban-mojito/,https://www.allrecipes.com/thmb/WWTbARhk3S0vRwfcqU79BOXbqh4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6098663-cuban-mojito-AllrecipesPhoto-1x1-1-5f47337a0fbb495fa118288bce5cf7c3.jpg,"['2 teaspoons white sugar', '1 lime, cut into 4 wedges', '4 sprigs fresh mint', '0.5 cup white rum', '2 cups club soda', '2 cups crushed ice', '2 wedges lime, as garnish']",2 servings,{},usa,state_ca,na,313.88,2.91,0.73,33.37
